SEASON,STATISTIC,PEARSON_CORRELATION,PEARSON_CORRELATION_ABS,SPEARMAN_CORRELATION,SPEARMAN_CORRELATION_ABS,PEARSON_CORRELATION_RANK,SPEARMAN_CORRELATION_RANK,AVERAGE_RANK
2017-2018,OPP_PER100_AST,-0.37188093302907077,0.37188093302907077,-0.4002008281072365,0.4002008281072365,49,45,47.0
2017-2018,OPP_PER100_FG,-0.3627856448101997,0.3627856448101997,-0.4093657223340347,0.4093657223340347,51,44,47.5
2017-2018,OPP_PER100_FT%,-0.3328895883335608,0.3328895883335608,-0.37442890317436844,0.37442890317436844,55,46,50.5
2017-2018,PER100_FT,0.4022842316038534,0.4022842316038534,0.3240740821403042,0.3240740821403042,47,55,51.0
2017-2018,PER100_TRB,0.344846410916839,0.344846410916839,0.3597636334906462,0.3597636334906462,53,51,52.0
2017-2018,ATTENDANCE/G,0.3157833373176966,0.3157833373176966,0.37143538940902093,0.37143538940902093,57,49,53.0
2017-2018,OPP_FG%_16-3PT,-0.4238883309005358,0.4238883309005358,-0.30497330643656545,0.30497330643656545,45,61,53.0
2017-2018,TOTAL_ATTENDANCE,0.31111187848924404,0.31111187848924404,0.3649737059699918,0.3649737059699918,58,50,54.0
2017-2018,PER100_FT%,0.32892129904416867,0.32892129904416867,0.3534925239901808,0.3534925239901808,56,52,54.0
2017-2018,OPP_FG%_3-10,-0.35892052942846653,0.35892052942846653,-0.31942898561383093,0.31942898561383093,52,57,54.5
2017-2018,OPP_AVERAGE_DISTANCE,-0.3690967035179679,0.3690967035179679,-0.30894156906996173,0.30894156906996173,50,60,55.0
2017-2018,OFFENSIVE_FT/FGA,0.3976102714566745,0.3976102714566745,0.28724359684847994,0.28724359684847994,48,64,56.0
2017-2018,PER100_3P,0.3408501962067437,0.3408501962067437,0.28870820459113256,0.28870820459113256,54,63,58.5
2017-2018,FG%3_CORNER,0.3075882756778678,0.3075882756778678,0.30471633764887657,0.30471633764887657,59,62,60.5
2017-2018,OPP_%FGA_3P,-0.2722440410081799,0.2722440410081799,-0.31178989319667394,0.31178989319667394,67,58,62.5
2017-2018,OPP_%ASTD_3P,-0.27049854857204586,0.27049854857204586,-0.3194384507575793,0.3194384507575793,69,56,62.5
2017-2018,OPP_PER100_2PA,0.26488051650914096,0.26488051650914096,0.33742074721905724,0.33742074721905724,72,54,63.0
2017-2018,OPP_%FGA_2P,0.2722440410081792,0.2722440410081792,0.31178989319667394,0.31178989319667394,68,59,63.5
2017-2018,FT_RATE,0.30510585033659976,0.30510585033659976,0.2425864955869174,0.2425864955869174,61,66,63.5
2017-2018,PER100_FTA,0.30565420083932676,0.30565420083932676,0.2204638016742819,0.2204638016742819,60,76,68.0
2017-2018,OPP_PER100_FT,-0.28320734268264586,0.28320734268264586,-0.22640035706315553,0.22640035706315553,63,73,68.0
2017-2018,DUNKS_MADE,0.26780260499106195,0.26780260499106195,0.24175608728781506,0.24175608728781506,70,67,68.5
2017-2018,OPP_%ASTD_2P,-0.23586528696268594,0.23586528696268594,-0.33916834947964963,0.33916834947964963,85,53,69.0
2017-2018,%FGA3P_CORNER,0.2596786543436676,0.2596786543436676,0.23612679902921804,0.23612679902921804,73,68,70.5
2017-2018,OPP_%FGA_LAYUPS,0.3011657047581755,0.3011657047581755,0.2118473948311317,0.2118473948311317,62,79,70.5
2017-2018,OPP_PER100_3PA,-0.25194478543257315,0.25194478543257315,-0.2721597439447156,0.2721597439447156,79,65,72.0
2017-2018,DEFENSIVE_FT/FGA,-0.2814825404576621,0.2814825404576621,-0.20686966525888056,0.20686966525888056,64,81,72.5
2017-2018,OPP_FGA_16-3PT,-0.28072017246773845,0.28072017246773845,-0.20673510425352556,0.20673510425352556,65,82,73.5
2017-2018,OPP_%FGA_3-10,0.25323159100800446,0.25323159100800446,0.22837731528341942,0.22837731528341942,78,71,74.5
2017-2018,OPP_FG%3_CORNER,-0.2554589169762247,0.2554589169762247,-0.22073587374177225,0.22073587374177225,77,75,76.0
2017-2018,PER100_2PA,-0.2677429239948329,0.2677429239948329,-0.19232919225917017,0.19232919225917017,71,87,79.0
2017-2018,%ASTD_3P,-0.20915682064753485,0.20915682064753485,-0.23436995210388684,0.23436995210388684,89,69,79.0
2017-2018,%FGA_DUNKS,0.2459238095389973,0.2459238095389973,0.21486698414469513,0.21486698414469513,82,77,79.5
2017-2018,DEFENSIVE_DRB%,0.18739013498567084,0.18739013498567084,0.22539304620975678,0.22539304620975678,92,74,83.0
2017-2018,%FGA_3P,0.25942682560912333,0.25942682560912333,0.18927665304854946,0.18927665304854946,75,91,83.0
2017-2018,PER100_AST,0.27910852468364994,0.27910852468364994,0.16969764693367906,0.16969764693367906,66,100,83.0
2017-2018,%FGA_2P,-0.2594268256091235,0.2594268256091235,-0.18927665304854946,0.18927665304854946,74,93,83.5
2017-2018,3PA_RATE,0.25942682560912333,0.25942682560912333,0.18927665304854946,0.18927665304854946,76,92,84.0
2017-2018,%FGA_3-10,-0.2405355454525086,0.2405355454525086,-0.19812810225292576,0.19812810225292576,83,85,84.0
2017-2018,PER100_TOV,-0.16807284828880595,0.16807284828880595,-0.22814456488819487,0.22814456488819487,96,72,84.0
2017-2018,OPP_PER100_FTA,-0.23001040350063542,0.23001040350063542,-0.200535158324111,0.200535158324111,86,84,85.0
2017-2018,OPP_%FGA3P_CORNER,-0.14653038587155667,0.14653038587155667,-0.23249336157961206,0.23249336157961206,103,70,86.5
2017-2018,AVERAGE_DISTANCE,0.19129372139022796,0.19129372139022796,0.20406819792026953,0.20406819792026953,91,83,87.0
2017-2018,OPP_%FGA_DUNKS,-0.16361003973327018,0.16361003973327018,-0.20899605440562605,0.20899605440562605,97,80,88.5
2017-2018,PER100_3PA,0.24839549700101227,0.24839549700101227,0.1788302711638282,0.1788302711638282,81,97,89.0
2017-2018,OFFENSIVE_ORB%,0.24869569441452685,0.24869569441452685,0.17351037714795806,0.17351037714795806,80,99,89.5
2017-2018,OPP_FG%_0-3,-0.1736890274876931,0.1736890274876931,-0.1975489537529392,0.1975489537529392,95,86,90.5
2017-2018,FG%_3-10,0.23713384446276561,0.23713384446276561,0.1764182758822886,0.1764182758822886,84,98,91.0
2017-2018,%FGA_LAYUPS,-0.14144451929813068,0.14144451929813068,-0.21304356299016505,0.21304356299016505,105,78,91.5
2017-2018,PER100_FGA,-0.1598925096846857,0.1598925096846857,-0.19187863038944,0.19187863038944,98,88,93.0
2017-2018,OPP_PER100_STL,-0.18189141050253282,0.18189141050253282,-0.18740235310953096,0.18740235310953096,94,94,94.0
2017-2018,OPP_PER100_TOV,0.21418203216756965,0.21418203216756965,0.1530214109473255,0.1530214109473255,87,101,94.0
2017-2018,OFFENSIVE_TOV%,-0.152590283575303,0.152590283575303,-0.1905242819316827,0.1905242819316827,102,89,95.5
2017-2018,FGA_16-3PT,-0.21370405838627635,0.21370405838627635,-0.13623193823860894,0.13623193823860894,88,104,96.0
2017-2018,PER100_PF,-0.1861716584345995,0.1861716584345995,-0.14347831793215196,0.14347831793215196,93,103,98.0
2017-2018,DEFENSIVE_TOV%,0.19353942780145458,0.19353942780145458,0.1152901814435732,0.1152901814435732,90,106,98.0
2017-2018,OPP_%FGA_10-16,0.14404921272355645,0.14404921272355645,0.18572226360554056,0.18572226360554056,104,96,100.0
2017-2018,PER100_2P,0.10330778083251008,0.10330778083251008,0.19027438877695377,0.19027438877695377,110,90,100.0
2017-2018,OPP_DUNKS_MADE,-0.12969667548717137,0.12969667548717137,-0.18733993793943593,0.18733993793943593,107,95,101.0
2017-2018,OPP_%FGA_0-3,0.15612299295385773,0.15612299295385773,0.13503571264887781,0.13503571264887781,100,105,102.5
2017-2018,HEAVE_MAKES,0.15975930198337468,0.15975930198337468,0.09642883218035793,0.09642883218035793,99,109,104.0
2017-2018,%FGA_0-3,0.10218744345351881,0.10218744345351881,0.14553166565934816,0.14553166565934816,111,102,106.5
2017-2018,OPP_PER100_PF,0.1542310824386983,0.1542310824386983,0.058541493922923904,0.058541493922923904,101,115,108.0
2017-2018,MP,0.11913062811088941,0.11913062811088941,0.10750933569596194,0.10750933569596194,109,107,108.0
2017-2018,OPP_LAYUPS_MADE,0.13694588616452494,0.13694588616452494,0.07320341941098762,0.07320341941098762,106,112,109.0
2017-2018,%FGA_10-16,-0.09367999845319869,0.09367999845319869,-0.09714477879526771,0.09714477879526771,113,108,110.5
2017-2018,OPP_PER100_FGA,0.11974015893845502,0.11974015893845502,0.05865953850467449,0.05865953850467449,108,114,111.0
2017-2018,%ASTD_2P,0.08255352237728253,0.08255352237728253,-0.08848775176913275,0.08848775176913275,114,110,112.0
2017-2018,HEAVE_ATTEMPTS,-0.0739328694612784,0.0739328694612784,-0.0884422380758581,0.0884422380758581,115,111,113.0
2017-2018,LAYUPS_MADE,0.09567454224793849,0.09567454224793849,0.0558217855782417,0.0558217855782417,112,116,114.0
2017-2018,OPP_PER100_ORB,-0.03267418867811904,0.03267418867811904,-0.06425305695643257,0.06425305695643257,118,113,115.5
2017-2018,OPP_PER100_2P,-0.04438141434823894,0.04438141434823894,0.003124302611024325,0.003124302611024325,116,119,117.5
2017-2018,PER100_ORB,0.040969710361802344,0.040969710361802344,0.003794642951676175,0.003794642951676175,117,118,117.5
2017-2018,PACE,-0.015430525039294471,0.015430525039294471,0.02252955834287495,0.02252955834287495,119,117,118.0
2016-2017,W,0.999998421369036,0.999998421369036,1.0,1.0,1,1,1.0
2016-2017,L,-0.999998421369036,0.999998421369036,-1.0,1.0,2,2,2.0
2016-2017,PW,0.965999705445116,0.965999705445116,0.9425637032619325,0.9425637032619325,3,5,4.0
2016-2017,NRTG,0.9636255102142051,0.9636255102142051,0.9439446340323895,0.9439446340323895,6,3,4.5
2016-2017,MOV,0.9643497453970399,0.9643497453970399,0.9428301775577349,0.9428301775577349,5,4,4.5
2016-2017,PL,-0.965999705445116,0.965999705445116,-0.9425637032619325,0.9425637032619325,4,6,5.0
2016-2017,SRS,0.9574390021395509,0.9574390021395509,0.9407059095733832,0.9407059095733832,7,7,7.0
2016-2017,ADJUSTED_MOV,0.9573732327945633,0.9573732327945633,0.9381494603641859,0.9381494603641859,8,9,8.5
2016-2017,ADJUSTED_NRTG,0.9565762340665848,0.9565762340665848,0.9394868081337714,0.9394868081337714,9,8,8.5
2016-2017,PLAYOFF_TEAM,0.8016224814363193,0.8016224814363193,0.8584846815443901,0.8584846815443901,10,10,10.0
2016-2017,PER100_PTS,0.7829196043691541,0.7829196043691541,0.7531781748837769,0.7531781748837769,11,11,11.0
2016-2017,ORTG,0.7827854401600942,0.7827854401600942,0.7527039029816716,0.7527039029816716,12,12,12.0
2016-2017,ADJUSTED_ORTG,0.7633133371617674,0.7633133371617674,0.7397470523505385,0.7397470523505385,13,13,13.0
2016-2017,TS%,0.6980009943013574,0.6980009943013574,0.677819178456712,0.677819178456712,15,14,14.5
2016-2017,OFFENSIVE_EFG%,0.7179263016303788,0.7179263016303788,0.638787142843048,0.638787142843048,14,16,15.0
2016-2017,OPP_FG%3_CORNER,-0.6850379834110284,0.6850379834110284,-0.6397289067514319,0.6397289067514319,16,15,15.5
2016-2017,OPP_PER100_3P%,-0.6767236290595464,0.6767236290595464,-0.6314851864486914,0.6314851864486914,17,17,17.0
2016-2017,OPP_FG%_3P,-0.6762431247194043,0.6762431247194043,-0.6284312945985254,0.6284312945985254,18,18,18.0
2016-2017,FG%,0.6671795541491491,0.6671795541491491,0.614346518643025,0.614346518643025,20,20,20.0
2016-2017,PER100_FG%,0.6671795541491491,0.6671795541491491,0.614346518643025,0.614346518643025,21,21,21.0
2016-2017,OPP_PER100_PTS,-0.6706133323644112,0.6706133323644112,-0.610591602107526,0.610591602107526,19,23,21.0
2016-2017,DRTG,-0.6671593104502408,0.6671593104502408,-0.6111679307005459,0.6111679307005459,22,22,22.0
2016-2017,DEFENSIVE_eFG%,-0.630959311090051,0.630959311090051,-0.6170238958806195,0.6170238958806195,26,19,22.5
2016-2017,PER100_3P%,0.6364764350342259,0.6364764350342259,0.605307804974215,0.605307804974215,23,24,23.5
2016-2017,FG%_3P,0.6364764350342259,0.6364764350342259,0.605307804974215,0.605307804974215,24,25,24.5
2016-2017,PER100_2P%,0.6266714121634376,0.6266714121634376,0.5975247051943177,0.5975247051943177,27,27,27.0
2016-2017,FG%_2P,0.6266714121634376,0.6266714121634376,0.5975247051943177,0.5975247051943177,28,26,27.0
2016-2017,ADJUSTED_DRTG,-0.6356052356405435,0.6356052356405435,-0.5743908670369463,0.5743908670369463,25,30,27.5
2016-2017,OPP_PER100_FG%,-0.5992592040955456,0.5992592040955456,-0.5962268512074197,0.5962268512074197,31,28,29.5
2016-2017,OPP_FG%,-0.5992592040955459,0.5992592040955459,-0.5962268512074197,0.5962268512074197,30,29,29.5
